stratum_code,au_id,si_class,bec_group,species_combo,stand_count,area_ha,mean_si,median_si,min_si,max_si,si_low_threshold_p35,si_high_threshold_p65,selected_top_90_stratum
CWHVM_FDC_BA,cwhvm_fdc_ba_l,L,CWHvm,FDC_BA,2,15.726265,36.0,36.0,36.0,36.0,36.0,36.0,False
CWHVM_DR_CW,cwhvm_dr_cw_h,H,CWHvm,DR_CW,3,15.26556,31.333334,32.0,28.0,34.0,22.95,27.0,False
CWHVM_YC_PL,cwhvm_yc_pl_h,H,CWHvm,YC_PL,5,15.182932,9.4,9.0,9.0,10.0,6.0,8.0,False
MHMM_HM_YC,mhmm_hm_yc_m,M,MHmm,HM_YC,4,15.085226,6.0,6.0,6.0,6.0,5.0,6.0,False
MHMM_YC_HM,mhmm_yc_hm_l,L,MHmm,YC_HM,6,14.872596,5.833334,5.0,5.0,8.0,9.8,13.0,False
CWHVM_CW_FD,cwhvm_cw_fd_l,L,CWHvm,CW_FD,1,14.815714,23.0,23.0,23.0,23.0,23.7,24.3,False
MHMM_HW_CW,mhmm_hw_cw_l,L,MHmm,HW_CW,2,14.457255,11.5,11.5,11.0,12.0,12.05,12.95,False
MHMM_YC,mhmm_yc_h,H,MHmm,YC,3,14.322054,13.333333,11.0,9.0,20.0,8.0,8.9,False
CWHVM_DR_SS,cwhvm_dr_ss_m,M,CWHvm,DR_SS,7,13.551566,25.571428,25.0,25.0,27.0,23.0,27.0,False
CWHVM_PL_CW,cwhvm_pl_cw_l,L,CWHvm,PL_CW,4,13.03164,6.5,5.5,5.0,10.0,10.45,18.25,False
CWHVH_YC_HW,cwhvh_yc_hw_l,L,CWHvh,YC_HW,3,12.65595,8.666667,9.0,8.0,9.0,9.45,10.0,False
CWHVH_SS_CW,cwhvh_ss_cw_l,L,CWHvh,SS_CW,2,12.632624,14.0,14.0,11.0,17.0,17.75,21.75,False
CWHVH_DR,cwhvh_dr_l,L,CWHvh,DR,5,12.529475,18.2,19.0,16.0,20.0,20.9,22.2,False
CWHVH_CW_DR,cwhvh_cw_dr_h,H,CWHvh,CW_DR,2,12.524962,22.0,22.0,21.0,23.0,17.8,20.2,False
MHMM_CW_HW,mhmm_cw_hw_m,M,MHmm,CW_HW,3,12.460449,14.0,14.0,14.0,14.0,13.0,14.0,False
CWHVH_DR,cwhvh_dr_m,M,CWHvh,DR,5,12.166177,21.4,21.0,21.0,22.0,20.9,22.2,False
CWHVM_FDC,cwhvm_fdc_l,L,CWHvm,FDC,1,12.133032,36.0,36.0,36.0,36.0,36.0,36.0,False
CWHVM_SS,cwhvm_ss_m,M,CWHvm,SS,4,11.798551,32.75,33.0,32.0,33.0,31.0,33.0,False
CWHVM_SS_BA,cwhvm_ss_ba_l,L,CWHvm,SS_BA,4,11.796966,26.25,31.0,12.0,31.0,31.0,31.0,False
CWHVH_DR,cwhvh_dr_h,H,CWHvh,DR,5,11.404313,25.6,25.0,24.0,27.0,20.9,22.2,False
CWHVM_CW_BA,cwhvm_cw_ba_h,H,CWHvm,CW_BA,4,10.750099,24.0,24.0,24.0,24.0,23.0,23.0,False
CWHVM_HM_CW,cwhvm_hm_cw_l,L,CWHvm,HM_CW,3,10.699784,6.0,6.0,6.0,6.0,6.1,7.0,False
CWHVH_FD_CW,cwhvh_fd_cw_l,L,CWHvh,FD_CW,2,10.330175,29.0,29.0,29.0,29.0,29.0,29.0,False
CWHVM_BA_HM,cwhvm_ba_hm_m,M,CWHvm,BA_HM,3,10.303989,16.0,16.0,16.0,16.0,15.2,17.0,False
CWHVM_YC,cwhvm_yc_l,L,CWHvm,YC,6,10.28804,6.333334,6.0,6.0,7.0,7.95,18.0,False
MHMM_YC,mhmm_yc_l,L,MHmm,YC,4,10.202629,7.5,8.0,6.0,8.0,8.0,8.9,False
